id,output,cleaned_cl_marem,cleaned_cl_marco,cleaned_cl_ale,pattern,parsed_output,label
_1055433382757306368,: Sono pericolosi \nLa frase contiene un riferimento agli spacciatori abituali e'}],Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1055436801115074565,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1055437992515510276,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono pericolosi,ale
_1055437992515510276,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055437992515510276,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono immorali,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono immorali|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1055437992515510276,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1055533109922447366,": ['Sono pericolosi']\nSpiegazione: La frase contiene un riferimento""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055533109922447366,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1055554395130208256,": ['Sono un problema']\n\nSpiegazione: La frase contiene""}]",Sono degli estremisti religiosi,Sono un problema,Hanno una cultura diversa dalla nostra,Sono degli estremisti religiosi|Sono un problema|Hanno una cultura diversa dalla nostra,Sono un problema,marco
_1055554395130208256,": ['Sono subdoli']\n\nSpiegazione: La frase""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono subdoli,marco
_1055692728682668032,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055692728682668032,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055692728682668032,": ['Sono tutelati']\n\nSpiegazione: La frase dice""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1055723237353668609,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene informazioni""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055723237353668609,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene informazioni""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055723237353668609,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono incompatibili con noi,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono incompatibili con noi|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1055750823484026881,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055770576885817344,": Sono pericolosi\n\n Input: La #morte di un bambino per mano""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055770576885817344,": Sono pericolosi\n\n Input: La #morte di un bambino per mano""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono pericolosi,ale
_1055770576885817344,": Sono pericolosi\n\n Input: La #morte di un bambino per mano""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055795213816467456,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1055795213816467456,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1055818448629104640,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055818448629104640,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055818448629104640,": ['Sono degli sfruttatori']\n\nSpiegazione: La""}]",Sono degli sfruttatori,Sono incompatibili con noi,Hanno una cultura diversa dalla nostra,Sono degli sfruttatori|Sono incompatibili con noi|Hanno una cultura diversa dalla nostra,Sono degli sfruttatori,marem
_1055820179438030849,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055820179438030849,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055832676672901120,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055834813771472897,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Hanno una cultura diversa dalla nostra,Sono degli sfruttatori|Sono dei parassiti|Hanno una cultura diversa dalla nostra,Sono degli sfruttatori,marem
_1055834813771472897,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1055834813771472897,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055834813771472897,: [\'Hanno una cultura diversa dalla nostra\']\nLa risposta corretta è la'}],Rovinano l'Italia,Sono incompatibili con noi,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono incompatibili con noi|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1055841522632085504,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono subdoli,Portano degrado,Sono una minaccia|Sono subdoli|Portano degrado,Sono una minaccia,marem
_1055841522632085504,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono una minaccia,marem
_1055841522632085504,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono una minaccia,marem
_1055841522632085504,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1055847291276292098,": ['Sono pericolosi']\n\nSpiegazione: La frase estratta""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055847291276292098,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono subdoli,Portano degrado,Sono una minaccia|Sono subdoli|Portano degrado,Sono una minaccia,marem
_1055860391916568576,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055870993384775682,": ['Sono incompatibili con noi']\n\nSpiegazione: La""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono incompatibili con noi,marco
_1055870993384775682,": ['Sono incompatibili con noi']\n\nSpiegazione: La""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono incompatibili con noi,marco
_1055906434737733632,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene due""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055906434737733632,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene due""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1055916773705502722,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1055916773705502722,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1055916773705502722,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1055916773705502722,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1058064411955523584,: [\'Sono pericolosi\']\n\nSpiegazione: La frase estratta'}],Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1058064411955523584,: [\'Sono un problema\']\n\nSpiegazione: La frase estr'}],Sono degli estremisti religiosi,Sono un problema,Hanno una cultura diversa dalla nostra,Sono degli estremisti religiosi|Sono un problema|Hanno una cultura diversa dalla nostra,Sono un problema,marco
_1058295328338833408,": ['Sono una minaccia']\n\nSpiegazione: \nLa""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono una minaccia,marem
_1058295328338833408,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1058420170203504641,": ['Sono degli sfruttatori']\n\nFrase: Sono un problema.""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1058420170203504641,": ['Sono degli sfruttatori']\n\nFrase: Sono un problema.""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1058420170203504641,": ['Sono degli sfruttatori']\n\nFrase: Sono un problema.""}]",Sono degli sfruttatori,Sono subdoli,Sono pericolosi,Sono degli sfruttatori|Sono subdoli|Sono pericolosi,Sono degli sfruttatori,marem
_1059212573592170496,: [\'Peggiorano le nostre condizioni di vita\']  # Peg'}],Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1059212573592170496,: [\'Peggiorano le nostre condizioni di vita\']  # Peg'}],Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1059753843632824321,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1060402773290897408,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1060402773290897408,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1061573002612088834,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1061573002612088834,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1061673725777592320,: [\'Sono degli sfruttatori\']\n\nSpiegazione: La frase'}],Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1061673725777592320,: [\'Sono degli sfruttatori\']\n\nSpiegazione: La frase'}],Sono degli sfruttatori,Sono un problema,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono un problema|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1061732332246351873,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1061732332246351873,": 'Sono tutelati'\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1061737908594503687,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1061737908594503687,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono un problema,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono un problema|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1061817824946073600,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono immorali,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono immorali|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1061817824946073600,": ['Sono un problema']\n\nSpiegazione: La frase contiene""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono un problema,marco
_1061817824946073600,": ['Sono un problema']\n\nSpiegazione: La frase contiene""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono un problema,marco
_1061817824946073600,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1061817824946073600,: [\'Portano degrado\']\n\nSpiegazione: La frase contiene'}],Rovinano l'Italia,Sono immorali,Portano degrado,Rovinano l'Italia|Sono immorali|Portano degrado,Portano degrado,ale
_1061914128837722112,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1061914128837722112,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1062100338646364160,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene l""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono pericolosi,ale
_1062100338646364160,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene l""}]",Sono degli sfruttatori,Sono subdoli,Sono pericolosi,Sono degli sfruttatori|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1062100338646364160,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1062291438510202881,": ['Sono subdoli']\n\nSpiegazione: La frase""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono subdoli,marco
_1062291438510202881,": ['Sono degli sfruttatori']\n\nSpiegazione: \n""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1062291438510202881,": ['Sono degli sfruttatori']\n\nSpiegazione: \n""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono degli sfruttatori,marem
_1062291438510202881,": ['Sono degli sfruttatori']\n\nSpiegazione: \n""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1062291438510202881,: [\'Sono un problema\']\n\nSpiegazione: La frase contiene'}],Rovinano l'Italia,Sono un problema,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono un problema|Hanno una cultura diversa dalla nostra,Sono un problema,marco
_1062302889849307137,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1062302889849307137,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono degli sfruttatori,Sono subdoli,Sono pericolosi,Sono degli sfruttatori|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1062762323620884481,: [\'Sono degli sfruttatori\']\n\nSpiegazione: La frase'}],Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1062762323620884481,: [\'Sono degli sfruttatori\']\n\nSpiegazione: La frase'}],Sono degli sfruttatori,Sono subdoli,Sono pericolosi,Sono degli sfruttatori|Sono subdoli|Sono pericolosi,Sono degli sfruttatori,marem
_1062762323620884481,: Sono pericolosi\n\nInput: “Le donne sono esseri inferiori agli uomini”'}],Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1062762323620884481,: [\'Sono una minaccia\']\nSpiegazione: La frase contiene stereotipi'}],Sono una minaccia,Sono immorali,Hanno una cultura diversa dalla nostra,Sono una minaccia|Sono immorali|Hanno una cultura diversa dalla nostra,Sono una minaccia,marem
_1063417638683054080,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1063417638683054080,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1063482351248965637,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1063482351248965637,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1063585333680459776,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1064259381905235968,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono immorali,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono immorali|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1064259381905235968,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono incompatibili con noi,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono incompatibili con noi|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1064302196093784065,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono incompatibili con noi,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono incompatibili con noi|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1064833581107879936,:  [\'Sono pericolosi\']\n\nSpiegazione: La frase contiene'}],Sono degli estremisti religiosi,Sono incompatibili con noi,Sono pericolosi,Sono degli estremisti religiosi|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1065006490891767808,: [\'Sono pericolosi\']\n\nSpiegazione: La frase contiene un'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1065141917611118594,": ['Fanno quello che vogliono senza contribuire']\n\nSpiegazione""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Fanno quello che vogliono senza contribuire,ale
_1065141917611118594,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1065141917611118594,": ['Sono pericolosi']\n\nSpiegazione: \nLa frase""}]",Sono degli sfruttatori,Sono subdoli,Sono pericolosi,Sono degli sfruttatori|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1065264871141502976,": [\'Sono pericolosi\', ""Rovinano l\'Italia""]\nSpi'}]",Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1065264871141502976,": ['Sono tutelati']\n\nSpiegazione: \nLa""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1065741037447118848,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1065920082658902016,: [\'Sono pericolosi\']\n\nSpiegazione: La frase contiene un'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1066637913327308800,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1066637913327308800,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono pericolosi,ale
_1067089567042408448,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono subdoli,Sono pericolosi,Sono degli sfruttatori|Sono subdoli|Sono pericolosi,Sono degli sfruttatori,marem
_1067089567042408448,": ['Fanno quello che vogliono senza contribuire']\n\n Input: La sinistra""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Fanno quello che vogliono senza contribuire,ale
_1067089567042408448,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1067153730867511296,: [\'Sono immorali\']\n\nSpiegazione: La frase contiene'}],Rovinano l'Italia,Sono immorali,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono immorali|Hanno una cultura diversa dalla nostra,Sono immorali,marco
_1067153730867511296,: [\'Sono immorali\']\n\nSpiegazione: La frase contiene'}],Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono immorali,marco
_1067153730867511296,": [\'Sono pericolosi\']\n\nInput: ""Lui ha fatto solo quello'}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
